집행목적,대상인원,집행금액,1소속부서,집행지주소,집행지명,cnt
민관 협력하여 50+일자리 발굴 보도자료 관련 간담회,신문팀장 등 4명,84000,대변인,중구 무교로,만복림,1
미디어 활성화 방안 마련 업무협의 간담회,신문팀장 등 4명,90000,대변인,중구 북창동,멘무샤,1
외신 네트워크 강화방안 마련 업무협의 간담회,해외언론팀장 등 10명,233800,대변인,중구 을지로,구이구이,1
대리기사 밀집 강북에 서울시 3호 '이동노동자쉼터' 현장설명회 관련 간담회,신문팀장 등,144000,대변인,중구 세종대로,붓처스컷,1
지하철 9호선 파업 대비 비상수송대책 마련 보도자료 관련 간담회,신문팀장 등 5명,94000,대변인,중구 을지로3길,여수바다장어,1
"스트레스 프리 디자인, 청소년 스트레스 실제로 낮췄다 보도자료 관련 간담회",방송팀장 등 8명,173000,대변인,중구 을지로3길,여수바다장어,1
시정 언론 보도율 제고 방안 마련 간담회,신문팀장 등 7명,160000,대변인,중구 세종대로 ,강가,1
인터넷 언론 소통 강화 업무협의 간담회,인터넷뉴스팀장 등 7명,179500,대변인,종로구 청계천로,라그릴리아,1
당번 근무자 격려 간담회,행정팀장 등 4명,24500,대변인,중구 남대문로9길,제씨찬,1
휴일 당번 근무자 격려 간담회,행정팀장 등 4명,54000,대변인,중구 다동길,촌장골,1
서남아시아 해외순방 성과 공유 간담회,시장 등 17명,447000,대변인,중구 덕수궁길,복성각,1
디자인으로 생활문제 해결한 서울시 성과 한 곳에 보도자료 관련 간담회,언론담당관 등 2명,14000,대변인,중구 무교로,동해수산,1
언론사 동정관리 업무협의 간담회,행정팀 이은주 등 3명,36000,대변인,중구 세종대로,팔팔전골,1
대변인 예결위 업무협의 간담회,대변인 등 3명,56000,대변인,중구 서소문로11길,한성,1
"강남, 홍대에 '연말 맞춤형' 올빼미 버스 달린다 보도자료 관련 간담회",신문팀장 등 2명,20000,대변인,중구 세종대로20길,금강산,1
도농상생 공공급식 확대..300인분 '비빔밥 퍼포먼스' 보도자료 관련 간담회,신문팀장 등 6명,95500,대변인,중구 태평로2가,사누키야,1
보도율 제고방안 마련 업무협의 간담회,대변인 등 2명,19000,대변인,중구 서소문로,월매네남원추어탕,1
시정 방송 취재지원 업무협의 간담회,언론담당관 등 5명,75000,대변인,중구 세종대로,우도일식,1
"서울시, AI산업 특화지원 '양재 혁신지구' 첫 앵커시설 개관 현장설명회 관련 간담회",언론담당관 등 12명,280000,대변인,중구 을지로3길,반갑다하대포,1
스크랩 당번 언론대응 방안 업무협의 간담회,행정팀장 등 7명,138000,대변인,종로구 종로,민소한우,1
"서울시, 행안부-공정위-경기도와 불공정근절 위해 손잡는다 보도자료 관련 간담회",신문팀장 등 18명,451000,대변인,중구 무교로,창고４３,1
"서울시, 잠실 등 4개 나들목 접근 개선 보도자료 관련 간담회",신문팀장 등 5명,115200,대변인,중구 무교로,기린,1
인터넷매체 언론홍보 간담회,인터넷뉴스팀장 등 5명,100000,대변인,중구 무교로,동해수산,1
방송 아이템 발굴 업무협의 간담회,언론담당관 등 11명,271000,대변인,중구 을지로3길,반갑다하대포,1
실국 언론소통 강화 방안 업무협의 간담회,대변인 등 7명,179000,대변인,중구 남대문로9길,더미,1
"서울시, 복지사각지대 이웃 12,063가구 도왔다 보도자료 관련 간담회",신문팀장 등 5명,113000,대변인,중구 을지로3길,경성양꼬치,1
언론 행사 일정 업무협의 간담회,행정팀장 등 4명,85000,대변인,중구 세종대로,붓처스컷,1
시정 주요행사 취재 지원 업무협의 간담회,행정팀 성옥현 등 4명,59500,대변인,중구 무교로,참숯골,1
"서울시, 치매관리사업 10년..'서울모델' 전국으로 확산 보도자료 관련 간담회",행정팀장 등 13명,300000,대변인,중구 무교로,만복림,1
시정 언론 보도율 제고 방안 마련 간담회,행정팀 선일규 등 6명,148000,대변인,중구 을지로3길,반갑다하대포,1
"시정 인터뷰, 기고 증진방안 마련 업무협의 간담회",대변인 등 4명,108000,대변인,중구 무교동,남산집,1
세로에너지 하우스 성과 공유 보도자료 관련 간담회,신문팀장 등 3명,21000,대변인,중구 남대문로,북촌손두부,1
현장기자 공관행사 지원 근무자 격려 간담회(1),행정팀장 등 2명,18000,대변인,중구 무교로,원주추어탕,1
현장기자 공관행사 지원 근무자 격려 간담회(3),신문팀 박정아 등 4명,76000,대변인,종로구 북촌로,백년토종삼계탕,1
미세먼지 대응 위해 중국건설은행과 먼지 먹는 숲 조성 보도자료 관련 간담회,신문팀장 등 3명,40000,대변인,중구 무교로,창고４３,1
언론 리스크 관리 방안협의 간담회,행정팀장 등 2명,14000,대변인,중구 남대문로9길,죽이야기,1
보도계획 수립 방안 마련 간담회,행정팀 성옥현 등 4명,55000,대변인,중구 남대문로9길,충무집,1
시민생활밀접 6개권한 자치구에 이양 보도자료 관련 간담회,신문팀장 등 8명,198000,대변인,중구 무교로,동해수산,1
당번 근무자 격려 간담회,신문팀장 등 3명,47500,대변인,중구 무교로,만복림,1
뚝섬 한강공원 눈썰매장 개장 보도자료 관련 간담회,행정팀장 등 4명,81700,대변인,중구 세종대로,샤이바나,1
보도관리시스템 개선방안 업무협의 간담회,인터넷뉴스팀장 등 9명,200000,대변인,종로구 새문안로,진아춘,1
시정 핵심사업 보도 기획 방안 마련 간담회,방송팀장 등 3명,78000,대변인,중구 태평로1가,리틀타이,1
언론소통 방안 마련 업무협의 간담회,행정팀장 등 5명,117000,대변인,종로구 새문안로9길,양가,1
프레스투어 지원 방안 마련 간담회,언론담당관 등 4명,30500,대변인,중구 을지로,명동칼국수,1
시정 핵심사업 방송 기획 업무협의 간담회,대변인 등 10명,244500,대변인,중구 을지로3길,오륙도,1
연말연시 호텔 불시점검..다중이용시설 소방안전 강화 보도자료 관련 간담회,신문팀 박정아 등 4명,114000,대변인,종로구 수표로28길,동남아,1
"서울시, 참여형 용산공원 조성 위한 시민소통공간 개관 보도자료 관련 간담회",대변인 등 9명,221000,대변인,중구 덕수궁길,복성각,1
가치를 디자인 하는 '소셜패션' 전시회 개최 보도자료 관련 간담회,신문팀장 등 4명,60000,대변인,종로구 청진동,핏제리아꼬또,1
시정 이슈 발굴 업무협의 간담회,신문팀장 등 12명,320000,대변인,중구 서소문로,배재반점,1
브리핑룸 개선방안 관련 준비 직원 격려 간담회,행정팀장 등 5명,84000,대변인,중구 남대문로1길,서울삼계탕,1
기자설명회 일정 업무협의 간담회,대변인 등 3명,36000,대변인,중구 무교로,곰국시집,1
시정 핵심사업 보도 기획 방안 마련 간담회,신문팀장 등 6명,148000,대변인,중구 무교로,창고４３,1
인생전환기 맞은 '중장년층' 정신건강 프로그램 보도자료 관련 간담회,신문팀장 등 5명,90000,대변인,중구 무교동,두르가,1
휴일 당번 근무자 격려 간담회,행정팀장 등 3명,45000,대변인,중구 무교로,포메인,1
서울 재건축 조합 종이문서 사라진다 기자설명회 관련 간담회,시장 등 10명,248000,대변인,중구 세종대로21길,더루이,1
주간 보도계획 수립 업무협의 간담회(1),신문팀장 등 3명,36000,대변인,중구 무교로,창고４３,1
시정 보도 해명자료 작성 업무협의 간담회,대변인 등 3명,60000,대변인,중구 을지로1가,흑산도홍어본가,1
"신문, 잡지 인터뷰 계획수립 업무협의 간담회",인텀뷰팀장 등 8명,214000,대변인,중구 무교로,창고４３,1
4차산업혁명 전문성+감성 갖춘 미래형 공무원 육성 보도자료 관련 간담회,대변인 등 10명,263000,대변인,중구 무교동,남산집,1
"서울시-국토부, 주요 정책 10건 협의 완료 보도자료 관련 간담회",신문팀장 등 7명,150000,대변인,중구 세종대로22길,동원브이아이피,1
당번 근무자 격려 간담회,신문팀장 등 3명,30000,대변인,중구 무교로,포메인,1
서울시 '나눔카' 도로에서도 빌린다 보도자료 관련 간담회,신문팀장 등 2명,16000,대변인,중구 세종대로,오펠두스,1
"대방동 옛 미군기지 자리에 여성,가족공간 보도자료 관련 간담회",신문팀 박정아 등 2명,30000,대변인,중구 세종대로 21길,월향,1
출입기자단 송년간담회,대변인 등 16명,403000,대변인,중구 무교로,아바,1
시정 모니터링 증진방안 업무협의 간담회,대변인 등 4명,72000,대변인,중구 무교로,곰국시집,1
실국 언론소통 강화 방안 업무협의 간담회,행정팀장 등 18명,480000,대변인,중구 서소문로,삼우정,1
당번 근무자 격려 간담회,신문팀장 등 4명,8600,대변인,중구 을지로,일리컴퍼니,1
"청룡열차, 꺼벙이 등 38개 서울미래유산 선정 보도자료 관련 간담회",신문팀장 등 3명,24900,대변인,중구 을지로,설리반,1
당번 근무자 격려 간담회,행정팀장 등 3명,8300,대변인,중구 을지로,일리컴퍼니,1
"서울둘레길, 개통 3년1개월만에 완주자 2만명 돌파 보도자료 관련 간담회",행정팀 성옥현 등 6명,125000,대변인,중구 무교동,남산집,1
취재지원 다각화 방안 업무협의 간담회,행정팀장 등 7명,150000,대변인,중구 덕수궁길,복성각,1
"서울교통공사, 지하철에서 생명 구한 '지하철 의인' 5명 포상 보도자료 관련 간담회",신문팀장 등 10명,268000,대변인,중구 을지로3길,여수바다장어,1
외신 홍보아이템 보도자료 발굴 업무협의 간담회,해외언론팀장 등 5명,123750,대변인,종로구 종로3길,파워프랜트,1
대언론 메시지 작성 업무협의 간담회,대변인 등 4명,60000,대변인,중구 세종대로,우도일식,1
언론 리스크 관리 방안협의 간담회,대변인 등 6명,115000,대변인,중구 세종대로,진동집,1
"월드컵공원, 동화 속 '이상한 겨울나라'로 변신 보도자료 관련 간담회(1)",신문팀장 등 4명,44500,대변인,중구 무교동,포베이,1
파퀴아오 중앙일보 대담 업무협의 간담회,언론담당관 등 4명,48000,대변인,중구 다동길,신의주찹쌀순대,1
종로 2.8Km 중앙버스전용차로 개통 보도자료 관련 간담회(1),신문팀 박정아 등 4명,42000,대변인,중구 세종대로20길,육대장,1
"아시아 복싱 전설 파퀴아오, 서울 글로벌 대사 된다 보도자료 관련 간담회",신문팀장 등 3명,11800,대변인,중구 세종대로,행복플러스,1
"미리보는 2018 서울교통..자율주행차,퍼스널모빌리티 시범지구 구축 보도자료 관련 간담회",대변인 등 9명,168000,대변인,중구 을지로3길,참복집,1
실국 언론소통 방안 마련 업무협의 간담회,행정팀장 등 15명,390000,대변인,중구 서소문로,삼우정,1
서울 232개 성당 '태양의 도시' 동참 보도자료 관련 간담회(1),신문팁장 등 5명,100000,대변인,중구 무교로,창고４３,1
당번 근무자 격려 간담회,행정팀장 등 4명,10200,대변인,중구 을지로,일리컴퍼니,1
18년 업무보고 작성 업무협의 간담회,행정팀장 등 4명,72000,대변인,중구 을지로3길,참복집,1
제20차 도시건축공동위원회 개최 결과 보도자료 관련 간담회,대변인 등 7명,127000,대변인,중구 남대문로9길,세림,1
미디어 활성화 방안 마련 업무협의 간담회,행정팀장 등 10명,241000,대변인,중구 태평로2가,스타,1
서울시-코레일 지원으로 6년간 서울역 노숙인 200명 청소원 변신 보도자료 관련 간담회,대변인 등 8명,200000,대변인,중구 서소문로11길,신씨화로,1
서울 핫 윈터 마켓' 개최 보도자료 관련 간담회,신문팀장 등 2명,24000,대변인,중구 무교로,창고４３,1
서울시 조례규칙심의회 개최 결과 보도자료 관련 간담회,언론담당관 등 4명,8000,대변인,중구 세종대로 110,지구마을,1
사무실 환경개선 근무자 격려 간담회,행정팀장 등 3명,79000,대변인,종로구 종로1가,장호왕곱창,1
브리핑룸 환경개선 업무협의 간담회,행정팀장 등 3명,36000,대변인,중구 남대문로9길,사조참치무교점,1
30일부터 9호선 6량열차 운행..혼잡해소대책 가동 보도자료 관련 간담회(1),신문팀장 등 10명,205000,대변인,중구 무교로,창고４３,1
30일부터 9호선 6량열차 운행..혼잡해소대책 가동 보도자료 관련 간담회(2),신문팀장 등 10명,36500,대변인,중구 세종대로22길,에슬로우,1
당번 근무자 격려 간담회,신문팀장 등 3명,24000,대변인,중구 무교로,만복림,1
주말 당번 노고 격려 간담회,행정팀장 등 3명,24000,대변인,중구 세종대로,육대장,1
주말 당번 노고 격려 간담회,행정팀장 등 3명,23600,대변인,중구 무교로,마마스,1
당번 매뉴얼 작성 업무협의 간담회,행정팀장 등 2명,17000,대변인,중구 을지로 ,명동칼국수,1
17년 업무보고 작성 관련 업무협의 간담회,대변인 등 9명,250000,대변인,중구 무교동,남산집,1
녹색서울 만드는 시민주도 환경사업에 총 5억원 지원 보도자료 관련 간담회,대변인 등 5명,136000,대변인,중구 다동길,초류향,1
수퍼데스크 이슈 관련 업무협의 간담회,신문팀장 등 3명,30550,대변인,중구 남대문로,퀴즈노스,1
17년 시의회 운영 관련 업무협의 간담회,행정팀장 등 8명,160000,대변인,중구 을지로,구이구이,1
"소방재난본부, 화재현장 첨단 화재조사 분석차량 도입 보도자료 관련 간담회",언론담당관 등 4명,102000,대변인, 중구 태평로,춘산,1
언론담당관 환경개선 방안 마련 업무협의 간담회,언론담당관 등 2명,39000,대변인,중구 남대문로,목포세발낙지,1
당번 노고 격려 간담회,인터뷰팀장 등 2명,8000,대변인,중구 남대문로,가마솥김밥,1
보도계획 수립 관련 업무협의 간담회,대변인 등 5명,44000,대변인,중구 무교동,남이섬,1
인터넷뉴스 모니터링 관련 업무협의 간담회,인터넷뉴스팀장 등 2명,9800,대변인,중구 다동길,오코아,1
부정보도 대응방안 업무협의 간담회,신문팀장 등 4명,95500,대변인,중구 남대문로,루핀,1
설 음식 위생관리 특별점검 보도자료 관련 간담회,방송팀장 등 5명,33600,대변인,중구 을지로,일리하우스,1
시정 방송 촬영 지원 간담회,방송팀장 등 4명,58000,대변인,중구 다동길,청주,1
시정 언론홍보 개선방안 마련 업무협의 간담회,대변인 등 4명,92000,대변인,중구 세종대로,동원브이아이피참치,1
언론홍보 벤치마킹 결과보고 관련 업무협의 간담회,행정팀 선일규 등 3명,80000,대변인,중구 을지로,장안문,1
"서울시 일자리카페, 청년 8721명에 무료 취업지원서비스 보도자료 관련 간담회",신문팀장 등 4명,60000,대변인,중구 무교로,태애진숯불갈비,1
대언론 소통강화 방안 마련 업무협의 간담회,언론담당관 등 2명,30000,대변인,중구 명동,하동관,1
보도계획 수립 및 보도자료 발굴 업무협의 간담회,신문팀 이연우 등 5명,132000,대변인,중구 무교동,영덕회식당,1
국내 1호 근로자이사 탄생 보도자료 관련 간담회,신문팀장 등 3명,79000,대변인,중구 세종대로,동원브이아이피참치,1
한우 미스터리 쇼퍼 활동 강화 보도자료 관련 간담회,신문팀장 등 4명,55000,대변인,중구 다동,소라,1
언론인 네트워크 강화 방안 업무협의 간담회,행정팀장 등 5명,75000,대변인,중구 무교동,남산집,1
시정 스크랩 개선방안 마련 업무협의 간담회,행정팀장 등 4명,90000,대변인,중구 세종대로,동원브이아이피참치,1
언론보도 데이터 관리 업무협의 간담회,언론담당관 등 4명,65000,대변인,중구 정동길,보나베띠정동점,1
실시간 모니터링 강화 방안 마련 업무협의 간담회,대변인 등 5명,117000,대변인, 중구 무교동,산채향,1
왜곡보도 확산 차단 방안 마련 업무협의 간담회,신문팀 박정아 등 2명,24000,대변인,중구 무교로,참숯골,1
"하도급 대금,임금 체불 특별 점검 보도자료 간담회",신문팀장 등 5명,101000,대변인,중구 남대문로,서울불고기,1
당번 노고 격려 간담회,신문팀장 등 3명,12500,대변인,중구 남대문로,가마솥김밥,1
맞춤형 방송 기획 취재지원 방안 업무협의 간담회,언론담당관 등 4명,88000,대변인,중구 을지로,흑산도홍어본가,1
출입기자단 스킨십 증진 방안 업무협의 간담회,행정팀장 등 9명,206000,대변인,중구 무교로,한라담,1
오피니언 리더 소통 확대 업무협의 간담회,대변인 등 2명,13200,대변인,중구 새문안로,오가다,1
서울시민대학 학점은행제 과정 신설 보도자료 관련 간담회,신문팀장 등 9명,230000,대변인,중구 세종대로,우도일식,1
남산골한옥마을 오대감 설 잔치 보도자료 관련 간담회,행정팀장 등 5명,102000,대변인,중구 을지로3,참복집,1
민관협력으로 실시간 주차정보제공서비스 확대 보도자료 관련 간담회,행정팀장 등 8명,168000,대변인,중구 무교동,남이섬,1
2017년 달라지는 서울생활 보도자료 관련 간담회,대변인 등 2명,75000,대변인, 중구 태평로,춘산,1
전략적 인터뷰 방안 마련 간담회,신문팀장 등 3명,24000,대변인,중구 을지로3길,서울불고기,1
시정 홍보 취재 지원 사진 기자 간담회,방송팀 정양균 등 4명,78000,대변인,중구 세종대로,금강산,1
시정 핵심사업 보도 기획 방안 마련 간담회,언론담당관 등 10명,252000,대변인,중구 을지로,라칸티나,1
시정 주요이슈 발굴 업무협의 간담회,언론담당관 등 2명,24000,대변인, 중구 다동길,부민옥,1
젠트리피케이션 타격 대학로 소극장 임차료 전액 지원 보도자료 관련 간담회,신문팀장 등 2명,17000,대변인,중구 다동길,방스만두,1
"서울시, 장기안심주택 1차 500호 공급 보도자료 관련 간담회",신문팀장 등 4명,91000,대변인,중구 을지로,여수바다장어,1
"서울메트로, 안전 관련 예산 대폭 늘여 보도자료 관련 간담회",신문팀 박병수 등 3명,38700,대변인,중구 세종대로,담소사골순대,1
출입기자단 스킨십 증진 관련 간사단 간담회,대변인 등 8명,225000,대변인,중구 남대문로,해우리,1
왜곡보도 신속 대응 방안 업무협의 간담회,신문팀장 등 6명,66000,대변인,중구 남대문로,바다양푼이동태탕,1
"40개국 청소년, 한겨울 '1박2일 서울문화체험' 취재 지원 간담회",방송팀장 등 2명,36400,대변인,중구 세종대로,한화호텔앤드리조트,1
대언론사 시정 집중사업 홍보 간담회,대변인 등 6명,158000,대변인,중구 세종대로,동원브이아이피참치,1
전입기자 취재 지원방안 마련 간담회,언론담당관 등 2명,39000,대변인,중구 남대문로,목포세발낙지,1
"서울시, 철새도래지 방역 강화 보도자료 관련 간담회",신문팀장 등 2명,31000,대변인,중구 무교로,김앤장,1
방송 아이템 발굴 업무협의 간담회,신문팀장 등 3명,42000,대변인,중구 다동,교동전선생,1
휴일 당번 노고 격려 간담회,신문팀장 등 3명,24000,대변인,중구 세종대로,육대장,1
언론사 동정 관리 업무협의 간담회,행정팀장 등 4명,45000,대변인,중구 무교동,영덕회식당,1
외신 홍보 콘텐츠 발굴 방안 업무협의 간담회,언론담당관 등 5명,142000,대변인,중구 을지로,흑산도홍어본가,1
프레스투어 지원 방안 마련 간담회,행정팀장 등 2명,39000,대변인,중구 남대문로,목포세발낙지,1
"올빼미버스 증차후 이용자 증가, 혼잡 완화 보도자료 관련 간담회",신문팀장 등 4명,99000,대변인,중구 무교로,곰국시집,1
시정 홍보 극대화 방안 마련 실국 소통 간담회,신문팀장 등 7명,166000,대변인,중구 을지로,반갑다하대포,1
출입기자단 신년행사 준비 업무협의 간담회,신문팀장 등 5명,54000,대변인,중구 무교로,장군보쌈,1
"대언론 메시지 작성, 관리방안 마련 간담회",언론담당관 등 7명,180000,대변인,중구 무교동,영덕회식당,1
대변인 뉴스레터 작성 업무협의 간담회,메시지실장 등 4명,62480,대변인,종로구 종로3길,파워프랜트,1
"서울시, 일자리 32만개 제공 기자설명회 관련 간담회",대변인 등 6명,152000,대변인,중구 을지로,라칸티나,1
부서 환경개선 노고 격려 간담회,행정팀 선일규 등 3명,68000,대변인,중구 다동길,이화수육개장,1
생활권계획 정착을 위한 심포지엄 개최 보도자료 관련 간담회,신문팀장 등 4명,101000,대변인,중구 을지로,여수바다장어,1
17년 주요 업무계획 수립 업무협의 간담회,행정팀 성옥현 등 4명,50000,대변인,중구 무교동,영덕회식당,1
언론담당관 당번 근무 매뉴얼 개정 업무협의 간담회,행정팀장 등 4명,47000,대변인,중구 무교로,장군보쌈,1
당번 관련 미디어상황실 운영 방안 마련 간담회,언론담당관 등 7명,175000,대변인,중구 무교동,남산집,1
"서울시, 역세권 청년주택 1호 임대료 '29만~38만원'확정 기자설명회 관련 간담회",대변인 등 8명,225000,대변인,중구 을지로,남포면옥,1
"서울시, 새벽인력시장 겨울쉼터 운영 보도자료 관련 간담회",신문팀 박병수 등 4명,65000,대변인,중구 세종대로,태그린샤이바나,1
에너지취약계층에 난방텐트 지원 보도자료 관련 간담회,행정팀장 등 2명,14000,대변인,중구 을지로,흑산도홍어본가,1
선제적 미디어 대응 방안 마련 업무협의 간담회,신문팀장 등 3명,26000,대변인,중구 남대문로,무교동수제비,1
어린이집 200개소 선도적 환경안전진단 보도자료 관련 간담회,신문팀장 등 7명,200000,대변인,중구 세종대로,열빈,1
언론 주요일정 수립 업무협의 간담회,행정팀장 등 3명,57000,대변인,중구 을지로,신가원　설렁탕,1
실국 수퍼데스크 이슈 발굴 업무협의 간담회,대변인 등 7명,173000,대변인,중구 을지로,오륙도,1
남산골한옥마을 입춘 행사 보도자료 관련 간담회,신문팀장 등 4명,40000,대변인,중구 무교로,김앤장,1
언론 자료 DB화 방안 마련 업무협의 간담회,신문팀장 등 4명,8300,대변인,중구 을지로,일리컴퍼니,1
북촌 지구단위계획 재정비 본격 착수 보도자료 관련 간담회,신문팀장 등 6명,154000,대변인,중구 무교로,제일가든,1
"서울시, 노동시간 단축 추진 보도자료 관련 간담회",대변인 등 3명,75000,대변인,중구 무교동,남산집,1
울입기자실 업무환경 개선 관련 간담회,언론담당관 등 2명,45000,대변인,중구 을지로,흑산도홍어본가,1
청년을 위한 청년 임차보증금 융자 보도자료 관련 간담회,신문팀장 등 7명,178000,대변인,중구 덕수궁길,복성각,1
외래관광객 1700만명 유치 목표 보도자료 관련 간담회,방송팀장 등 7명,150300,대변인,종로구 청계천로,라그릴리아,1
외신 홍보 취재 지원 방안 업무협의 간담회,해외팀 장영윤 등 4명,88000,대변인,중구 을지로,느린마을양조장＆펍,1
시정 성과 극대화 홍보 방안 마련 업무협의 간담회,언론담당관 등 10명,290000,대변인,중구 무교동,영덕회식당,1
"안전혁신, 신속한 제도개선 위한 이행관리책임제 실시 보도자료 관련 간담회",신문팀장 등 9명,136000,대변인,중구 남대문로,러브앤러브,1
전략적 인터뷰 방안 마련 간담회,신문팀장 등 4명,18000,대변인, 중구 남대문로,스몰하우스빅도어비스,1
"설 연휴, 쓰레기 관리 종합대책 추진 관련 촬영기자 간담회",방송팀장 등 36명,295000,대변인,중구 을지로,한가람,1
"설 대비 역,터미널 주변 음식점 위생점검 보도자료 관련 간담회",빙송팀장 등 8명,14700,대변인,중구 을지로,일리하우스,1
미디어상황실 활성화 방안 업무협의 간담회,행정팀장 등 5명,71000,대변인,중구 무교로,참숯골,1
기자실 운영 지원방안 업무협의 간담회,언론담당관 등 2명,39000,대변인,중구 남대문로,목포세발낙지,1
전략적 인터뷰 홍보 방안 마련 간담회,인터뷰팀장 등 3명,60000,대변인,종로구 새문안로,옴레스토랑,1
"서울시, 건축물 철거 프로세스 개선 보도자료 관련 간담회",신문팀 박병수 등 2명,56200,대변인,종로구 종로3길,쇼쇼샤브,1
"서울시, 랜드마크적 보행특구 2곳 지정 기자설명회 관련 간담회",대변인 등 7명,182000,대변인,중구 명동길,진사댁,1
한강 맞춤형 수중점검선 운영 보도자료 관련 간담회,신문팀장 등 5명,107000,대변인,중구 을지로,반갑다하대포,1
한양도성 현장유적박물관 설계공모 보도자료 관련 간담회,대변인 등 5명,75000,대변인,중구 세종대로,우도일식,1
당번 노고 격려 간담회,인터넷뉴스팀장 등 2명,11000,대변인,중구 남대문로,가마솥김밥,1
설 연휴 지하철 막차 연장 운행 관련 간담회,신문팀장 등 4명,47000,대변인,중구 무교로,김앤장,1
제1차 도시건축공동위원회 개최 결과 관련 간담회,신문팀장 등 7명,158000,대변인,중구 남대문로,더미,1
휴일 당번 노고 격려 간담회,인터넷뉴스팀장 등 5명,123000,대변인,중구 을지로,남포면옥,1
17년 신년 업무보고 작성 관련 업무협의 간담회,행정팀장 등 4명,62000,대변인,중구 을지로,구이구이,1
"주택,건물 에너지 다이어트에 150억 지원 보도자료 관련 간담회",대변인 등 9명,244000,대변인,중구 무교동,남산집,1
17년 충무계획 실행 관련 업무협의 간담회,언론담당관 등 2명,45000,대변인,중구 을지로,흑산도홍어본가,1
고척스카이돔 시설개선으로 WBC대회 준비 총력 보도자료 관련 간담회,신문팀장 등 4명,64000,대변인,중구 다동길,오징어풍경,1
방송아이템 발굴 업무협의 간담회,방송팀장 등 2명,20800,대변인,중구 태평로,불고기브라더스,1
시의회 업무보고 작성 업무협의 간담회,행정팀 성옥현 등 4명,57000,대변인,중구 무교로,제일가든,1
"서울시, 맞춤형 공동체 활성화 공모사업 보도자료 관련 간담회",언론담당관 등 6명,180000,대변인,중구 무교로,곰국시집,1
"서울시, 2017 뉴딜일자리박람회 개최 보도자료 관련 간담회",대변인 등 8명,196000,대변인,중구 남대문로,해우리,1
시정 언론홍보 개선방안 마련 업무협의 간담회,언론담당관 등 7명,185000,대변인,중구 서소문로,천상,1
실국 홍보방안 마련 업무협의 간담회,대변인 등 6명,152000,대변인,중구 다동길,（주)초류향,1
"서울시, 민관군 전국 최초 감염병 공동대응 보도자료 관련 간담회",신문팀장 등 6명,122500,대변인,중구 다동길,（주)초류향,1
대표단 해외순방 업무협의 간담회,신문팀장 등 2명,46000,대변인,중구 다동,교동전선생,1
당번 노고 격려 간담회,행정팀장 등 4명,66000,대변인,중구 다동길,돈궁,1
당번 업무 개선방안 마련 업무협의 간담회,언론담당관 등 2명,39000,대변인,중구 남대문로,목포세발낙지,1
중국 경제일보 업무협의 간담회,해외언론팀 한나리 등 4명,109000,대변인,중구 세종대로,메이징에이,1
도시형소공인 집적지구 지정 보도자료 관련 간담회,대변인 등 5명,138000,대변인,종로구 평창동,곰마루,1
139개 전통시장 전기시설 안전점검 및 무상보수 보도자료 관련 간담회,신문팀장 등 10명,250000,대변인,중구 세종대로,동원브이아이피,1
공직자 윤리의식 향상 통한 청렴특별시 보도자료 관련 간담회,행정팀장 등 3명,60800,대변인,중구 무교로,기린,1
맞춤형 방송 기획 취재지원 방안 업무협의 간담회,방송팀장 등 7명,162000,대변인,중구 을지로,이와니와요스케,1
언론인 네트워크 강화 방안 업무협의 간담회,행정팀장 등 4명,60000,대변인,중구 무교동,두르가,1
"서울시, 어르신일자리 5만6천개 만든다 보도자료 관련 간담회",대변인 등 3명,60000,대변인,중구 무교로,참숯골,1
사회문제 해결 혁신형 사업에 최대 1억원 지원 보도자료 관련 간담회,신문팀장 등 4명,88600,대변인,중구 태평로,불고기브라더스,1
언론보도 데이터 관리 업무협의 간담회,신문팀장 등 3명,56000,대변인,중구 남대문로,오복미역,1
전략적 인터뷰 방안 마련 간담회,인터뷰팀장 등 5명,96000,대변인,중구 세종대로,생어거스틴,1
기자실 운영 지원방안 업무협의 간담회,행정팀장 등 3명,70000,대변인,중구 다동길,진미족발,1
임시정부 기념관 '독립운동 클러스터'조성 기자설명회 관련 간담회,대변인 등 8명,120000,대변인,중구 남대문로,세림,1
선제적 미디어 대응 방안 마련 업무협의 간담회,신문팀장 등 4명,94000,대변인,중구 을지로,반갑다하대포,1
"19년 여의도 한강, 수변거점 탈바꿈 기자설명회 관련 간담회",대변인 등 6명,150000,대변인,중구 세종대로,금강산,1
시정 주요이슈 발굴 업무협의 간담회,언론담당관 등 7명,136500,대변인, 중구 정동길,보나베띠정동점,1
시정 홍보 취재 지원 여기자 간담회,행정팀 이은주 등 7명,160000,대변인,중구 세종대로,우도일식,1
미디어상황실 개선방안 마련 간담회,언론행정팀 선일규 등 2명,22000,대변인,중구 무교로,무교소호정,1
부정보도 대응방안 업무협의 간담회,신문팀장 등 5명,66500,대변인,중구 다동길,（주)초류향,1
보도계획 수립 및 보도자료 발굴 업무협의 간담회,신문팀장 등 4명,21550,대변인,중구 남대문로,퀴즈노스,1
대언론 메시지 작성 관련 업무협의 간담회,언론담당관 등 2명,73500,대변인,중구 다동길,（주)초류향,1
길고양이 9천마리 중성화 추진 보도자료 관련 간담회,행정팀장 등 14명,311000,대변인,중구 남대문로,놀부부대찌개,1
취재지원 다각화 방안 업무협의 간담회,대변인 등 4명,100000,대변인,중구 세종대로,더테이블한정식,1
